run,condition,SNR_target,acc_clean,acc_noisy,acc_unet,unet_recovery,snr_in,snr_out_unet,unet_snr_improve
3,gaussian,15,87.5,79.0,83.75,4.75,15.000923,15.652297,0.65137386
3,gaussian,10,87.5,69.0,78.0,9.0,10.005081,11.229999,1.2249174
3,gaussian,5,87.5,53.0,62.25000000000001,9.250000000000007,5.008686,6.5205603,1.5118742
3,gaussian,0,87.5,28.000000000000004,42.0,13.999999999999996,0.019503552,1.8599265,1.8404229
3,gaussian,-5,87.5,8.5,24.75,16.25,-4.924828,-2.6117184,2.3131096
3,gaussian,-10,87.5,2.0,12.0,10.0,-9.687957,-6.691681,2.996276
3,gaussian,-15,87.5,2.0,3.5000000000000004,1.5000000000000004,-13.968965,-10.178308,3.790657
3,gaussian,-20,87.5,2.0,2.0,0.0,-17.448538,-12.958801,4.4897366
3,white,20,87.5,85.75,88.25,2.5,19.990826,19.61391,-0.37691498
3,white,15,87.5,79.75,84.75,5.0,15.000685,15.663806,0.6631212
3,white,10,87.5,69.0,76.5,7.5,10.004594,11.227335,1.2227411
3,white,5,87.5,52.25,62.74999999999999,10.499999999999993,5.00723,6.5126324,1.5054026
3,white,0,87.5,28.000000000000004,42.0,13.999999999999996,0.012297868,1.8393842,1.8270863
3,white,-5,87.5,8.5,25.75,17.25,-4.9627104,-2.6313381,2.3313723
3,white,-10,87.5,2.0,11.0,9.0,-9.824914,-6.8039575,3.0209565
3,white,-15,87.5,2.0,1.7500000000000002,-0.24999999999999978,-14.273477,-10.44366,3.8298168
3,white,-20,87.5,2.0,2.25,0.25,-17.859253,-13.244568,4.614685
4,traffic,20,87.5,88.0,89.0,1.0,19.990946,21.265291,1.2743454
4,traffic,15,87.5,84.5,88.0,3.5,15.000872,17.910378,2.9095058
4,traffic,10,87.5,79.5,87.75,8.25,10.005481,14.327503,4.3220224
4,traffic,5,87.5,69.5,84.25,14.75,5.0100155,10.83154,5.8215246
4,traffic,0,87.5,55.75,75.5,19.75,0.026057653,7.6260905,7.600033
4,traffic,-5,87.5,36.5,61.0,24.5,-4.8987727,4.8879538,9.786726
4,traffic,-10,87.5,18.0,38.75,20.75,-9.613726,2.7511356,12.3648615
4,traffic,-15,87.5,6.75,24.75,18.0,-13.839529,1.3163165,15.155846
4,traffic,-20,87.5,3.25,14.249999999999998,10.999999999999998,-17.295511,0.124410965,17.419922
4,gaussian,20,87.5,85.0,87.0,2.0,19.990946,19.614092,-0.37685394
4,gaussian,15,87.5,80.25,85.75,5.5,15.000877,15.667591,0.6667137
4,gaussian,10,87.5,69.0,76.5,7.5,10.005108,11.215009,1.2099009
4,gaussian,5,87.5,52.75,60.75000000000001,8.000000000000007,5.008737,6.522343,1.5136061
4,gaussian,0,87.5,27.750000000000004,43.75,15.999999999999996,0.019493062,1.8591943,1.8397012
4,gaussian,-5,87.5,8.75,24.5,15.75,-4.9247756,-2.6200564,2.3047192
4,gaussian,-10,87.5,2.5,12.0,9.5,-9.687937,-6.6913342,2.9966025
4,gaussian,-15,87.5,2.0,3.25,1.25,-13.969409,-10.200583,3.7688255
4,gaussian,-20,87.5,2.0,2.0,0.0,-17.44827,-12.945917,4.5023537
4,white,20,87.5,86.0,87.5,1.5,19.99086,19.614792,-0.37606812
4,white,15,87.5,79.5,83.75,4.25,15.000674,15.661465,0.66079044
4,white,10,87.5,68.5,75.5,7.0,10.004577,11.233518,1.228941
4,white,5,87.5,51.74999999999999,63.0,11.250000000000007,5.007274,6.5212097,1.5139356
4,white,0,87.5,28.999999999999996,45.0,16.000000000000004,0.012413916,1.8426114,1.8301976
4,white,-5,87.5,9.0,23.5,14.5,-4.9625764,-2.6593726,2.3032038
4,white,-10,87.5,2.0,11.25,9.25,-9.82491,-6.7868176,3.0380926
4,white,-15,87.5,2.0,3.5000000000000004,1.5000000000000004,-14.273369,-10.432387,3.8409815
4,white,-20,87.5,2.0,2.25,0.25,-17.859236,-13.228889,4.6303463
5,traffic,20,87.5,88.25,87.5,-0.75,19.990967,21.268204,1.2772369
5,traffic,15,87.5,84.25,88.0,3.75,15.000956,17.879406,2.8784504
5,traffic,10,87.5,78.25,87.25,9.0,10.005509,14.315424,4.3099146
5,traffic,5,87.5,68.5,83.25,14.75,5.009755,10.820983,5.811228
5,traffic,0,87.5,54.25,75.5,21.25,0.026048096,7.601016,7.574968
5,traffic,-5,87.5,37.25,61.75000000000001,24.500000000000007,-4.8982744,4.8738165,9.772091
5,traffic,-10,87.5,19.0,41.0,22.0,-9.613527,2.7311726,12.3447
5,traffic,-15,87.5,6.25,25.25,19.0,-13.8400545,1.2464225,15.086477
5,traffic,-20,87.5,2.5,13.5,11.0,-17.294985,0.17660713,17.471592
5,gaussian,20,87.5,85.5,87.25,1.75,19.990932,19.610865,-0.38006783
5,gaussian,15,87.5,80.5,85.0,4.5,15.000869,15.659676,0.6588068
5,gaussian,10,87.5,68.5,75.0,6.5,10.00501,11.221326,1.2163162
5,gaussian,5,87.5,51.74999999999999,61.25000000000001,9.500000000000014,5.0087013,6.531435,1.5227337
5,gaussian,0,87.5,28.999999999999996,44.75,15.750000000000004,0.019414073,1.8574126,1.8379985
