SNR_dB,Run,Seed,Noisy_%,UNet_%
10,1,42,23.0,46.0
10,2,43,23.25,46.25
10,3,44,22.75,46.5
10,4,45,23.5,47.25
10,5,46,23.5,46.25
5,1,42,16.75,44.75
5,2,43,16.25,45.5
5,3,44,16.5,45.5
5,4,45,16.25,44.5
5,5,46,16.0,45.5
0,1,42,10.75,31.0
0,2,43,11.0,32.0
0,3,44,9.75,32.5
0,4,45,10.0,32.5
0,5,46,10.75,34.0
-5,1,42,6.75,17.5
-5,2,43,6.75,16.5
-5,3,44,6.0,18.0
-5,4,45,6.75,16.75
-5,5,46,6.25,16.5
-10,1,42,2.5,4.25
-10,2,43,2.5,4.0
-10,3,44,2.25,4.25
-10,4,45,2.5,4.25
-10,5,46,2.25,4.25
